,query
6821,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.HISTORY',""params"":'acne'"
1172,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.AGE_YRS',""value_1"":44.0"
4345,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.NUMDAYS',""value_1"":746.0"
6024,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.CUR_ILL',""params"":'perezone'"
8104,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.PRIOR_VAX',""value_1"":'03/29/21'"
10596,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'VAX.VAX_LOT',""value_1"":'0320H20A'"
533,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.STATE',""value_1"":'WA'"
11691,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'VAX.VAX_NAME',""params"":'INFLUENZA"
1826,"POST_scripts/4{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""query_string"":{""query"":""{{value_1}}"",""default_field"":""{{field_1}}"",'SYMPTOMS',""AUTO"",'NIH"
12874,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'SYMPTOMS',""params"":""Schirmer's"
6812,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.HISTORY',""params"":'breast"
1031,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.AGE_YRS',""value_1"":68.0"
5092,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.LAB_DATA',""params"":'heart"
6329,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.CUR_ILL',""params"":'gonorrhea'"
11348,"POST_scripts/4{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""query_string"":{""query"":""{{value_1}}"",""default_field"":""{{field_1}}"",'VAX.VAX_SITE',""AUTO"",'LL'},"
1210,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.CAGE_YR',""value_1"":62.0"
4158,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.ONSET_DATE',""value_1"":'07/01/2018'"
2694,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.DATEDIED',""value_1"":'01/09/2022'"
2200,"POST_scripts/4{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""query_string"":{""query"":""{{value_1}}"",""default_field"":""{{field_1}}"",'SYMPTOMS',""AUTO"",'Intestinal"
9273,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.SPLTTYPE',""value_1"":'USPFIZER"
9789,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.TODAYS_DATE',""value_1"":'10/26/2021'"
5771,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.OTHER_MEDS',""params"":'cbd"
3037,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.HOSPDAYS',""value_1"":114.0"
9186,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.SPLTTYPE',""value_1"":'US0095075132202USA006062'"
4201,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.ONSET_DATE',""value_1"":'08/02/2021'"
12514,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'SYMPTOMS',""params"":'Product"
1160,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.AGE_YRS',""value_1"":90.0"
7456,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.ALLERGIES',""params"":'emogene'"
5018,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.LAB_DATA',""params"":'influenza"
7128,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.HISTORY',""params"":'dry"
281,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'05/06/2022'"
1878,"POST_scripts/4{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""query_string"":{""query"":""{{value_1}}"",""default_field"":""{{field_1}}"",'SYMPTOMS',""AUTO"",'Ankle"
2960,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.HOSPDAYS',""value_1"":23.0"
4577,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.NUMDAYS',""value_1"":273.0"
4280,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.NUMDAYS',""value_1"":382.0"
11801,"POST_scripts/4{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""query_string"":{""query"":""{{value_1}}"",""default_field"":""{{field_1}}"",'VAX.VAX_NAME',""AUTO"",'INFLUENZA"
11559,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'VAX.VAX_NAME',""params"":'YELLOW"
6067,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.CUR_ILL',""params"":'vaccine"
10491,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'VAX.VAX_LOT',""value_1"":'qfaa2159'"
3036,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.HOSPDAYS',""value_1"":1.0"
4545,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.NUMDAYS',""value_1"":432.0"
6505,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.CUR_ILL',""params"":'left"
7321,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'DATA.ALLERGIES',""params"":'allergies'"
12120,"POST_scripts/4{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""query_string"":{""query"":""{{value_1}}"",""default_field"":""{{field_1}}"",'VAX.VAX_NAME',""AUTO"",'DTAP"
1663,"POST_scripts/4{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""query_string"":{""query"":""{{value_1}}"",""default_field"":""{{field_1}}"",'SYMPTOMS',""AUTO"",'Spleen"
10958,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'VAX.VAX_LOT',""value_1"":'18790'"
9586,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.SPLTTYPE',""value_1"":'USPFIZER"
3029,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.HOSPDAYS',""value_1"":42.0"
12996,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'SYMPTOMS',""params"":'Pseudomonas"
9559,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.SPLTTYPE',""value_1"":'885080'"
12634,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'SYMPTOMS',""params"":'Mechanical"
3136,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.VAX_DATE',""value_1"":'06/25/2021'"
266,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'03/28/2022'"
2375,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.DATEDIED',""value_1"":'12/01/2020'"
2130,"POST_scripts/4{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""query_string"":{""query"":""{{value_1}}"",""default_field"":""{{field_1}}"",'SYMPTOMS',""AUTO"",'Decubitus"
41,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'01/18/2022'"
12981,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'SYMPTOMS',""params"":'Oesophageal"
9435,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.SPLTTYPE',""value_1"":'USPFIZER"
4596,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.NUMDAYS',""value_1"":486.0"
3941,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.ONSET_DATE',""value_1"":'03/23/2022'"
1020,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.AGE_YRS',""value_1"":96.0"
221,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.RECVDATE',""value_1"":'03/22/2022'"
12837,"POST_scripts/3{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":{""query"":""{{value_1}}"",""fuzziness"":""AUTO"",""operator"":""AND"",'SYMPTOMS',""params"":'Penile"
10765,"POST_scripts/1{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""term"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'VAX.VAX_LOT',""value_1"":'02/23/2021'"
999,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.AGE_YRS',""value_1"":106.0"
702,"POST_scripts/2{""script"":{""lang"":""mustache"",""source"":{""track_total_hits"":""true"",""query"":{""match"":{""{{field_1}}"":""{{value_1}}""}}},""params"":{""field_1"":'DATA.STATE',""value_1"":'IN'"
